Stock,Current Price,Previous Close,Volume,Market Cap,Day High,Day Low,52W High,52W Low,1M Return,3M Return,6M Return,RSI,SMA20,SMA50,MACD,ATR,Institutional Score,Confidence,Buy Probability,Composite Score,Trade Signal,Sector,Sector Rank,Sector Percentile,Market Leader,Relative Strength Score,Elite Stock
AZAD.NS,2016.7,1913.2,446270,130241997954.69458,2019.0,1874.800048828125,2350.0,1360.0,8.27,23.34,15.88,49.94,2137.6,1824.82,45.9,105.93,66,62.7,59.56,62.75,HOLD,Unknown,17.0,90.57,YES,15.84,NO
BBOX.NS,929.0,945.1,521808,164893091895.0,959.0,926.2999877929688,966.0,435.04998779296875,75.48,59.58,74.12,86.35,738.37,596.15,99.69,41.64,66,62.7,59.56,62.75,HOLD,Unknown,17.0,90.57,YES,70.17,NO
BALRAMCHIN.NS,532.85,550.45,599339,107609284892.16943,561.0499877929688,531.6500244140625,627.7999877929688,393.54998779296875,4.72,15.54,16.48,55.06,529.0,506.1,11.22,20.53,66,62.7,59.56,62.75,HOLD,Unknown,17.0,90.57,YES,12.67,NO
ANTELOPUS.NS,753.5,750.3,127998,26494836753.0,785.0499877929688,751.9000244140625,789.9000244140625,357.0,23.06,29.47,50.49,63.15,697.18,626.35,39.16,40.46,65,61.75,58.66,61.8,HOLD,Unknown,18.0,89.53,NO,35.96,NO
ABBOTINDIA.NS,27605.0,27795.0,3258,586586981710.0,27950.0,27550.0,37000.0,25150.0,8.75,2.56,-6.69,62.48,26444.25,26319.2,503.1,585.62,65,61.75,58.66,61.8,HOLD,Unknown,18.0,89.53,NO,0.72,NO
BAJFINANCE.NS,920.0,923.55,4388986,5720446229120.0,921.8499755859375,908.4500122070312,1102.5,787.9000244140625,-2.01,-5.05,-10.56,49.15,931.53,901.21,1.42,23.72,65,61.75,58.66,61.8,HOLD,Unknown,18.0,89.53,NO,-6.34,NO
ASIANENE.NS,359.35,320.0,6462930,17458525940.280914,375.75,327.0,391.6499938964844,230.0,15.01,26.07,13.16,71.75,311.11,293.04,7.47,19.12,65,61.75,58.66,61.8,HOLD,Unknown,18.0,89.53,NO,17.59,NO
BLUSPRING.NS,73.69,69.85,832589,11010182508.865784,75.11000061035156,70.0,100.87999725341797,43.97999954223633,13.84,23.97,-1.14,69.85,66.66,59.72,2.59,3.67,63,59.85,56.86,59.9,HOLD,Unknown,19.0,88.5,NO,10.89,NO
BALAMINES.NS,1796.6,1708.8,831314,58211635808.95996,1840.9000244140625,1665.800048828125,1945.0,968.0999755859375,49.31,61.49,50.28,75.05,1460.82,1222.23,143.61,95.15,63,59.85,56.86,59.9,HOLD,Unknown,19.0,88.5,NO,53.35,NO
ASIANPAINT.NS,2607.8,2600.7,380673,2499952639309.8037,2614.0,2562.0,2985.699951171875,2115.0,2.52,9.0,-8.81,62.64,2527.89,2381.01,60.04,63.07,63,59.85,56.86,59.9,HOLD,Unknown,19.0,88.5,NO,-0.07,NO
APOLLOHOSP.NS,8110.0,8026.0,330847,1166093568270.0,8133.5,7814.5,8180.0,6696.5,4.73,8.18,9.4,64.61,7887.22,7664.68,129.17,153.3,63,59.85,56.86,59.9,HOLD,Unknown,19.0,88.5,NO,7.63,NO
AIIL.NS,505.0,496.7,885618,428858877500.0,511.6499938964844,486.0,683.0,400.0,8.25,1.44,-6.68,57.88,487.73,468.63,8.96,22.29,61,57.95,55.05,58.0,HOLD,Unknown,20.0,87.86,NO,0.23,NO
AYMSYNTEX.NS,227.0,227.83,5228,13305398657.0,234.97999572753906,226.92999267578125,279.3299865722656,141.52999877929688,12.74,15.32,33.94,53.9,232.33,205.47,6.45,12.84,60,57.0,54.15,57.05,HOLD,Unknown,21.0,87.08,NO,21.99,NO
AXISCADES.NS,2036.0,2044.5,45792,86593093604.0,2049.300048828125,2008.5,2211.0,930.5,6.22,56.57,34.58,58.07,2036.94,1754.7,78.55,86.58,60,57.0,54.15,57.05,HOLD,Unknown,21.0,87.08,NO,32.67,NO
ADFFOODS.NS,265.15,269.15,97218,29130331543.69583,274.70001220703125,264.04998779296875,301.6499938964844,153.10000610351562,18.22,18.7,25.63,61.46,265.42,217.89,13.62,13.55,60,57.0,54.15,57.05,HOLD,Unknown,21.0,87.08,NO,21.33,NO
ADVAIT.NS,1964.1,1890.4,34211,21480923438.688843,1968.9000244140625,1869.800048828125,2163.0,1351.0,5.48,20.27,41.12,51.95,2006.28,1831.15,18.28,101.98,60,57.0,54.15,57.05,HOLD,Unknown,21.0,87.08,NO,24.17,NO
AYE.NS,140.19,138.43,1773335,34276298163.551086,145.0,133.9199981689453,161.3800048828125,88.22000122070312,7.29,0.0,8.75,57.09,137.52,119.37,3.81,10.14,60,57.0,54.15,57.05,HOLD,Unknown,21.0,87.08,NO,5.69,NO
ABSLAMC.NS,1008.2,1036.9,128991,291466938558.0081,1036.800048828125,1001.5999755859375,1123.5,697.0,-2.86,17.12,35.35,47.1,1045.63,996.63,7.29,43.56,58,55.1,52.34,55.15,HOLD,Unknown,22.0,85.53,NO,18.42,NO
ABB.NS,6541.0,6329.0,317701,1386092680875.0,6548.0,6259.5,7822.5,4637.5,-9.47,12.74,27.6,44.57,6912.94,6619.62,-101.6,229.39,58,55.1,52.34,55.15,HOLD,Unknown,22.0,85.53,NO,12.02,NO
ACMESOLAR.NS,283.55,282.85,1494722,171658019174.6986,289.29998779296875,281.45001220703125,324.29998779296875,195.89999389648438,-4.29,23.96,16.12,48.67,293.37,275.21,-0.05,11.57,58,55.1,52.34,55.15,HOLD,Unknown,22.0,85.53,NO,12.35,NO
